2026/09/25 09:28:46.695, 731 MiB, 70 %, 76, 2445 MHz, 64.18 W, 0x0000000000000000
2026/09/25 09:28:48.707, 731 MiB, 70 %, 76, 2460 MHz, 65.43 W, 0x0000000000000000
2026/09/25 09:28:50.714, 731 MiB, 71 %, 76, 2460 MHz, 65.49 W, 0x0000000000000004
2026/09/25 09:28:52.715, 731 MiB, 70 %, 76, 2460 MHz, 65.37 W, 0x0000000000000004
2026/09/25 09:28:54.718, 731 MiB, 71 %, 77, 2460 MHz, 65.24 W, 0x0000000000000004
2026/09/25 09:28:56.729, 731 MiB, 70 %, 77, 2460 MHz, 65.72 W, 0x0000000000000000
2026/09/25 09:28:58.737, 731 MiB, 70 %, 77, 2460 MHz, 65.54 W, 0x0000000000000000
2026/09/25 09:29:00.747, 731 MiB, 72 %, 76, 2460 MHz, 65.64 W, 0x0000000000000004
2026/09/25 09:29:02.756, 731 MiB, 64 %, 76, 2460 MHz, 61.68 W, 0x0000000000000000
2026/09/25 09:29:04.761, 731 MiB, 63 %, 75, 2460 MHz, 61.58 W, 0x0000000000000000
2026/09/25 09:29:06.764, 731 MiB, 71 %, 76, 2460 MHz, 61.78 W, 0x0000000000000004
2026/09/25 09:29:08.769, 731 MiB, 70 %, 77, 2460 MHz, 65.48 W, 0x0000000000000004
2026/09/25 09:29:10.782, 731 MiB, 68 %, 76, 2460 MHz, 65.11 W, 0x0000000000000000
2026/09/25 09:29:12.795, 731 MiB, 69 %, 77, 2460 MHz, 65.26 W, 0x0000000000000000
2026/09/25 09:29:14.804, 731 MiB, 69 %, 77, 2460 MHz, 64.90 W, 0x0000000000000000
2026/09/25 09:29:16.816, 731 MiB, 68 %, 77, 2460 MHz, 64.89 W, 0x0000000000000004
2026/09/25 09:29:18.823, 731 MiB, 70 %, 78, 2445 MHz, 65.68 W, 0x0000000000000004
2026/09/25 09:29:20.833, 731 MiB, 69 %, 77, 2460 MHz, 64.84 W, 0x0000000000000004
2026/09/25 09:29:22.844, 731 MiB, 69 %, 78, 2460 MHz, 65.44 W, 0x0000000000000000
2026/09/25 09:29:24.856, 731 MiB, 68 %, 77, 2460 MHz, 64.78 W, 0x0000000000000000
2026/09/25 09:29:26.860, 731 MiB, 69 %, 78, 2460 MHz, 65.24 W, 0x0000000000000000
2026/09/25 09:29:28.865, 731 MiB, 70 %, 78, 2460 MHz, 65.38 W, 0x0000000000000004
2026/09/25 09:29:30.874, 731 MiB, 71 %, 78, 2460 MHz, 65.93 W, 0x0000000000000004
2026/09/25 09:29:32.877, 731 MiB, 70 %, 78, 2460 MHz, 65.74 W, 0x0000000000000004
2026/09/25 09:29:34.885, 731 MiB, 69 %, 77, 2415 MHz, 65.20 W, 0x0000000000000000
2026/09/25 09:29:36.898, 731 MiB, 69 %, 78, 2460 MHz, 66.04 W, 0x0000000000000004
2026/09/25 09:29:38.901, 731 MiB, 70 %, 77, 2460 MHz, 65.61 W, 0x0000000000000004
2026/09/25 09:29:40.906, 731 MiB, 72 %, 77, 2460 MHz, 65.68 W, 0x0000000000000004
2026/09/25 09:29:42.915, 731 MiB, 70 %, 78, 2460 MHz, 65.18 W, 0x0000000000000004
2026/09/25 09:29:44.920, 731 MiB, 67 %, 78, 2460 MHz, 64.16 W, 0x0000000000000000
2026/09/25 09:29:46.923, 731 MiB, 68 %, 78, 2460 MHz, 64.92 W, 0x0000000000000004
2026/09/25 09:29:48.926, 731 MiB, 66 %, 78, 2460 MHz, 64.88 W, 0x0000000000000000
