2026/09/24 11:03:30.827, 666 MiB, 58 %, 73, 2460 MHz, 53.65 W, 0x0000000000000000
2026/09/24 11:03:32.830, 666 MiB, 58 %, 73, 2460 MHz, 53.30 W, 0x0000000000000000
2026/09/24 11:03:34.835, 666 MiB, 57 %, 73, 2460 MHz, 53.53 W, 0x0000000000000000
2026/09/24 11:03:36.837, 666 MiB, 57 %, 73, 2460 MHz, 53.69 W, 0x0000000000000000
2026/09/24 11:03:38.839, 666 MiB, 57 %, 73, 2460 MHz, 53.53 W, 0x0000000000000000
2026/09/24 11:03:40.841, 666 MiB, 58 %, 73, 2460 MHz, 53.60 W, 0x0000000000000000
2026/09/24 11:03:42.856, 666 MiB, 57 %, 73, 2460 MHz, 53.57 W, 0x0000000000000000
2026/09/24 11:03:44.863, 666 MiB, 57 %, 73, 2460 MHz, 53.74 W, 0x0000000000000000
2026/09/24 11:03:46.865, 666 MiB, 58 %, 73, 2460 MHz, 53.64 W, 0x0000000000000000
2026/09/24 11:03:48.868, 666 MiB, 56 %, 73, 2460 MHz, 51.77 W, 0x0000000000000000
2026/09/24 11:03:50.873, 666 MiB, 58 %, 73, 2460 MHz, 53.59 W, 0x0000000000000000
2026/09/24 11:03:52.888, 666 MiB, 57 %, 74, 2460 MHz, 53.57 W, 0x0000000000000000
2026/09/24 11:03:54.893, 666 MiB, 57 %, 73, 2460 MHz, 53.59 W, 0x0000000000000000
2026/09/24 11:03:56.909, 666 MiB, 58 %, 73, 2460 MHz, 53.57 W, 0x0000000000000000
2026/09/24 11:03:58.913, 666 MiB, 56 %, 73, 2460 MHz, 53.57 W, 0x0000000000000000
2026/09/24 11:04:00.928, 666 MiB, 58 %, 73, 2460 MHz, 53.28 W, 0x0000000000000000
2026/09/24 11:04:02.937, 666 MiB, 58 %, 74, 2460 MHz, 53.53 W, 0x0000000000000000
2026/09/24 11:04:04.940, 666 MiB, 57 %, 74, 2460 MHz, 53.54 W, 0x0000000000000000
2026/09/24 11:04:06.950, 666 MiB, 56 %, 74, 2460 MHz, 53.70 W, 0x0000000000000000
2026/09/24 11:04:08.955, 666 MiB, 58 %, 74, 2460 MHz, 53.76 W, 0x0000000000000000
2026/09/24 11:04:10.963, 666 MiB, 57 %, 74, 2460 MHz, 53.86 W, 0x0000000000000000
2026/09/24 11:04:12.965, 666 MiB, 57 %, 74, 2460 MHz, 53.47 W, 0x0000000000000000
2026/09/24 11:04:14.968, 666 MiB, 56 %, 74, 2460 MHz, 53.58 W, 0x0000000000000000
2026/09/24 11:04:16.971, 666 MiB, 58 %, 74, 2460 MHz, 53.51 W, 0x0000000000000000
2026/09/24 11:04:18.973, 666 MiB, 57 %, 74, 2460 MHz, 53.59 W, 0x0000000000000000
2026/09/24 11:04:20.977, 666 MiB, 57 %, 74, 2460 MHz, 53.45 W, 0x0000000000000000
2026/09/24 11:04:22.980, 666 MiB, 57 %, 74, 2460 MHz, 53.60 W, 0x0000000000000000
2026/09/24 11:04:24.996, 666 MiB, 57 %, 74, 2460 MHz, 53.74 W, 0x0000000000000000
2026/09/24 11:04:27.008, 666 MiB, 58 %, 74, 2460 MHz, 53.81 W, 0x0000000000000000
2026/09/24 11:04:29.017, 666 MiB, 58 %, 74, 2460 MHz, 53.76 W, 0x0000000000000000
2026/09/24 11:04:31.021, 666 MiB, 58 %, 74, 2460 MHz, 53.71 W, 0x0000000000000000
2026/09/24 11:04:33.025, 666 MiB, 57 %, 74, 2460 MHz, 53.74 W, 0x0000000000000000
2026/09/24 11:04:35.030, 666 MiB, 56 %, 74, 2460 MHz, 53.76 W, 0x0000000000000000
2026/09/24 11:04:37.031, 666 MiB, 57 %, 74, 2460 MHz, 53.81 W, 0x0000000000000000
2026/09/24 11:04:39.035, 666 MiB, 57 %, 74, 2460 MHz, 53.65 W, 0x0000000000000000
2026/09/24 11:04:41.047, 666 MiB, 56 %, 74, 2460 MHz, 53.78 W, 0x0000000000000000
2026/09/24 11:04:43.055, 666 MiB, 57 %, 74, 2460 MHz, 53.50 W, 0x0000000000000000
2026/09/24 11:04:45.071, 666 MiB, 57 %, 74, 2460 MHz, 53.79 W, 0x0000000000000000
2026/09/24 11:04:47.087, 666 MiB, 57 %, 74, 2460 MHz, 53.58 W, 0x0000000000000000
2026/09/24 11:04:49.088, 666 MiB, 58 %, 74, 2460 MHz, 53.73 W, 0x0000000000000000
2026/09/24 11:04:51.098, 666 MiB, 56 %, 74, 2460 MHz, 53.70 W, 0x0000000000000000
2026/09/24 11:04:53.101, 666 MiB, 57 %, 74, 2460 MHz, 53.79 W, 0x0000000000000000
2026/09/24 11:04:55.104, 666 MiB, 57 %, 74, 2460 MHz, 53.78 W, 0x0000000000000000
2026/09/24 11:04:57.105, 666 MiB, 58 %, 74, 2460 MHz, 53.83 W, 0x0000000000000000
2026/09/24 11:04:59.108, 666 MiB, 57 %, 74, 2460 MHz, 53.84 W, 0x0000000000000000
2026/09/24 11:05:01.123, 666 MiB, 57 %, 74, 2460 MHz, 53.83 W, 0x0000000000000000
2026/09/24 11:05:03.129, 666 MiB, 57 %, 74, 2460 MHz, 53.93 W, 0x0000000000000000
2026/09/24 11:05:05.132, 666 MiB, 57 %, 74, 2460 MHz, 53.98 W, 0x0000000000000000
2026/09/24 11:05:07.145, 666 MiB, 57 %, 74, 2460 MHz, 53.74 W, 0x0000000000000000
2026/09/24 11:05:09.150, 666 MiB, 57 %, 74, 2460 MHz, 53.82 W, 0x0000000000000000
2026/09/24 11:05:11.157, 666 MiB, 57 %, 74, 2460 MHz, 53.92 W, 0x0000000000000000
2026/09/24 11:05:13.160, 666 MiB, 57 %, 74, 2460 MHz, 53.79 W, 0x0000000000000000
2026/09/24 11:05:15.163, 666 MiB, 58 %, 74, 2460 MHz, 54.05 W, 0x0000000000000000
2026/09/24 11:05:17.168, 666 MiB, 57 %, 74, 2460 MHz, 53.91 W, 0x0000000000000000
