2026/09/25 10:24:16.306, 757 MiB, 65 %, 71, 2460 MHz, 62.98 W, 0x0000000000000000
2026/09/25 10:24:18.312, 757 MiB, 70 %, 73, 2460 MHz, 64.40 W, 0x0000000000000000
2026/09/25 10:24:20.320, 757 MiB, 68 %, 72, 2460 MHz, 64.34 W, 0x0000000000000004
2026/09/25 10:24:22.330, 757 MiB, 69 %, 73, 2460 MHz, 63.21 W, 0x0000000000000000
2026/09/25 10:24:24.340, 757 MiB, 71 %, 73, 2460 MHz, 64.41 W, 0x0000000000000000
2026/09/25 10:24:26.352, 757 MiB, 65 %, 73, 2460 MHz, 62.55 W, 0x0000000000000000
2026/09/25 10:24:28.358, 757 MiB, 71 %, 73, 2460 MHz, 63.99 W, 0x0000000000000004
2026/09/25 10:24:30.364, 757 MiB, 66 %, 73, 2460 MHz, 62.53 W, 0x0000000000000004
2026/09/25 10:24:32.379, 757 MiB, 65 %, 73, 2460 MHz, 62.08 W, 0x0000000000000000
2026/09/25 10:24:34.393, 757 MiB, 68 %, 73, 2460 MHz, 64.00 W, 0x0000000000000000
2026/09/25 10:24:36.396, 757 MiB, 67 %, 74, 2460 MHz, 61.58 W, 0x0000000000000000
2026/09/25 10:24:38.401, 757 MiB, 70 %, 74, 2460 MHz, 64.36 W, 0x0000000000000004
2026/09/25 10:24:40.415, 757 MiB, 66 %, 74, 2460 MHz, 63.73 W, 0x0000000000000000
2026/09/25 10:24:42.419, 757 MiB, 70 %, 74, 2460 MHz, 64.89 W, 0x0000000000000000
2026/09/25 10:24:44.423, 757 MiB, 64 %, 74, 2460 MHz, 63.39 W, 0x0000000000000000
2026/09/25 10:24:46.438, 757 MiB, 70 %, 74, 2460 MHz, 63.58 W, 0x0000000000000000
2026/09/25 10:24:48.453, 757 MiB, 70 %, 75, 2460 MHz, 64.80 W, 0x0000000000000000
2026/09/25 10:24:50.456, 757 MiB, 67 %, 75, 2460 MHz, 62.93 W, 0x0000000000000000
2026/09/25 10:24:52.471, 757 MiB, 70 %, 75, 2460 MHz, 64.74 W, 0x0000000000000000
2026/09/25 10:24:54.481, 757 MiB, 67 %, 74, 2460 MHz, 62.01 W, 0x0000000000000000
2026/09/25 10:24:56.489, 757 MiB, 70 %, 74, 2460 MHz, 65.51 W, 0x0000000000000000
2026/09/25 10:24:58.497, 757 MiB, 66 %, 74, 2460 MHz, 62.84 W, 0x0000000000000000
2026/09/25 10:25:00.512, 757 MiB, 70 %, 75, 2460 MHz, 65.07 W, 0x0000000000000000
