2026/09/24 12:23:03.365, 323 MiB, 5 %, 36
2026/09/24 12:23:05.369, 323 MiB, 4 %, 36
2026/09/24 12:23:07.385, 498 MiB, 3 %, 37
2026/09/24 12:23:09.393, 498 MiB, 14 %, 38
2026/09/24 12:23:11.395, 498 MiB, 35 %, 38
2026/09/24 12:23:13.402, 498 MiB, 36 %, 38
2026/09/24 12:23:15.415, 498 MiB, 38 %, 38
2026/09/24 12:23:17.417, 498 MiB, 38 %, 38
2026/09/24 12:23:19.422, 498 MiB, 2 %, 38
2026/09/24 12:23:21.434, 498 MiB, 40 %, 39
2026/09/24 12:23:23.445, 498 MiB, 39 %, 39
2026/09/24 12:23:25.449, 527 MiB, 38 %, 39
2026/09/24 12:23:27.451, 527 MiB, 40 %, 39
2026/09/24 12:23:29.466, 542 MiB, 41 %, 39
2026/09/24 12:23:31.474, 542 MiB, 39 %, 39
2026/09/24 12:23:33.483, 542 MiB, 40 %, 39
2026/09/24 12:23:35.499, 542 MiB, 40 %, 39
2026/09/24 12:23:37.502, 542 MiB, 38 %, 40
2026/09/24 12:23:39.503, 542 MiB, 34 %, 40
2026/09/24 12:23:41.516, 542 MiB, 39 %, 40
2026/09/24 12:23:43.523, 527 MiB, 39 %, 40
2026/09/24 12:23:45.526, 527 MiB, 38 %, 40
2026/09/24 12:23:47.527, 527 MiB, 40 %, 40
2026/09/24 12:23:49.538, 527 MiB, 39 %, 40
2026/09/24 12:23:51.550, 527 MiB, 40 %, 40
2026/09/24 12:23:53.553, 527 MiB, 40 %, 40
2026/09/24 12:23:55.556, 527 MiB, 41 %, 41
2026/09/24 12:23:57.570, 527 MiB, 35 %, 41
2026/09/24 12:23:59.576, 527 MiB, 38 %, 41
2026/09/24 12:24:01.577, 527 MiB, 39 %, 41
2026/09/24 12:24:03.581, 527 MiB, 41 %, 41
2026/09/24 12:24:05.597, 527 MiB, 40 %, 41
2026/09/24 12:24:07.610, 527 MiB, 33 %, 41
2026/09/24 12:24:09.615, 527 MiB, 37 %, 41
2026/09/24 12:24:11.617, 527 MiB, 32 %, 41
2026/09/24 12:24:13.620, 527 MiB, 40 %, 41
2026/09/24 12:24:15.635, 527 MiB, 39 %, 41
2026/09/24 12:24:17.640, 527 MiB, 39 %, 41
2026/09/24 12:24:19.641, 527 MiB, 38 %, 41
2026/09/24 12:24:21.655, 527 MiB, 39 %, 41
2026/09/24 12:24:23.657, 527 MiB, 38 %, 41
2026/09/24 12:24:25.671, 527 MiB, 38 %, 41
2026/09/24 12:24:27.678, 527 MiB, 39 %, 41
2026/09/24 12:24:29.681, 527 MiB, 39 %, 41
2026/09/24 12:24:31.683, 527 MiB, 40 %, 42
2026/09/24 12:24:33.693, 527 MiB, 40 %, 42
2026/09/24 12:24:35.706, 527 MiB, 39 %, 42
2026/09/24 12:24:37.711, 527 MiB, 38 %, 42
2026/09/24 12:24:39.722, 527 MiB, 32 %, 42
2026/09/24 12:24:41.723, 527 MiB, 37 %, 42
2026/09/24 12:24:43.725, 527 MiB, 33 %, 42
2026/09/24 12:24:45.737, 527 MiB, 40 %, 42
2026/09/24 12:24:47.740, 527 MiB, 40 %, 42
2026/09/24 12:24:49.742, 527 MiB, 40 %, 42
2026/09/24 12:24:51.751, 527 MiB, 37 %, 42
2026/09/24 12:24:53.767, 527 MiB, 38 %, 42
2026/09/24 12:24:55.780, 527 MiB, 40 %, 42
2026/09/24 12:24:57.796, 527 MiB, 38 %, 42
2026/09/24 12:24:59.802, 527 MiB, 39 %, 42
2026/09/24 12:25:01.808, 527 MiB, 39 %, 42
2026/09/24 12:25:03.812, 527 MiB, 39 %, 42
2026/09/24 12:25:05.816, 527 MiB, 39 %, 42
2026/09/24 12:25:07.819, 527 MiB, 38 %, 42
2026/09/24 12:25:09.822, 527 MiB, 40 %, 42
2026/09/24 12:25:11.837, 527 MiB, 34 %, 42
2026/09/24 12:25:13.851, 527 MiB, 34 %, 42
2026/09/24 12:25:15.859, 527 MiB, 35 %, 43
2026/09/24 12:25:17.870, 527 MiB, 38 %, 43
2026/09/24 12:25:19.873, 527 MiB, 38 %, 43
2026/09/24 12:25:21.883, 527 MiB, 40 %, 43
