2026/09/24 10:33:34.547, 310 MiB, 53 %, 36
2026/09/24 10:33:36.564, 310 MiB, 0 %, 36
2026/09/24 10:33:38.579, 310 MiB, 52 %, 36
2026/09/24 10:33:40.579, 310 MiB, 50 %, 36
2026/09/24 10:33:42.581, 310 MiB, 0 %, 36
2026/09/24 10:33:44.601, 310 MiB, 54 %, 36
2026/09/24 10:33:46.607, 485 MiB, 0 %, 37
2026/09/24 10:33:48.616, 485 MiB, 5 %, 38
2026/09/24 10:33:50.623, 485 MiB, 36 %, 38
2026/09/24 10:33:52.628, 485 MiB, 35 %, 38
2026/09/24 10:33:54.642, 485 MiB, 44 %, 38
2026/09/24 10:33:56.655, 485 MiB, 40 %, 39
2026/09/24 10:33:58.671, 485 MiB, 40 %, 39
2026/09/24 10:34:00.687, 485 MiB, 40 %, 39
2026/09/24 10:34:02.701, 485 MiB, 38 %, 40
2026/09/24 10:34:04.703, 485 MiB, 38 %, 40
2026/09/24 10:34:06.717, 485 MiB, 40 %, 40
2026/09/24 10:34:08.719, 485 MiB, 39 %, 40
2026/09/24 10:34:10.734, 485 MiB, 34 %, 40
2026/09/24 10:34:12.749, 485 MiB, 38 %, 40
2026/09/24 10:34:14.763, 485 MiB, 36 %, 40
2026/09/24 10:34:16.767, 485 MiB, 39 %, 41
2026/09/24 10:34:18.781, 485 MiB, 40 %, 41
2026/09/24 10:34:20.796, 485 MiB, 37 %, 41
2026/09/24 10:34:22.810, 485 MiB, 40 %, 41
2026/09/24 10:34:24.811, 485 MiB, 34 %, 41
2026/09/24 10:34:26.827, 485 MiB, 37 %, 41
2026/09/24 10:34:28.829, 485 MiB, 38 %, 41
2026/09/24 10:34:30.830, 485 MiB, 37 %, 41
2026/09/24 10:34:32.840, 485 MiB, 40 %, 41
2026/09/24 10:34:34.842, 485 MiB, 37 %, 41
2026/09/24 10:34:36.843, 485 MiB, 38 %, 41
2026/09/24 10:34:38.859, 485 MiB, 38 %, 41
2026/09/24 10:34:40.874, 485 MiB, 41 %, 41
2026/09/24 10:34:42.877, 485 MiB, 39 %, 41
2026/09/24 10:34:44.891, 485 MiB, 41 %, 41
2026/09/24 10:34:46.904, 485 MiB, 40 %, 41
2026/09/24 10:34:48.906, 485 MiB, 33 %, 41
2026/09/24 10:34:50.921, 485 MiB, 33 %, 41
2026/09/24 10:34:52.922, 485 MiB, 30 %, 41
2026/09/24 10:34:54.937, 485 MiB, 40 %, 41
2026/09/24 10:34:56.938, 485 MiB, 40 %, 42
2026/09/24 10:34:58.949, 485 MiB, 38 %, 42
2026/09/24 10:35:00.954, 485 MiB, 40 %, 42
2026/09/24 10:35:02.969, 485 MiB, 38 %, 42
2026/09/24 10:35:04.983, 485 MiB, 37 %, 42
2026/09/24 10:35:06.998, 485 MiB, 40 %, 42
2026/09/24 10:35:08.999, 485 MiB, 40 %, 42
2026/09/24 10:35:11.014, 485 MiB, 39 %, 42
2026/09/24 10:35:13.017, 485 MiB, 39 %, 42
2026/09/24 10:35:15.031, 485 MiB, 40 %, 42
2026/09/24 10:35:17.045, 485 MiB, 39 %, 42
2026/09/24 10:35:19.047, 485 MiB, 40 %, 42
2026/09/24 10:35:21.061, 485 MiB, 33 %, 42
2026/09/24 10:35:23.077, 485 MiB, 35 %, 42
2026/09/24 10:35:25.078, 485 MiB, 29 %, 42
2026/09/24 10:35:27.093, 485 MiB, 37 %, 42
2026/09/24 10:35:29.109, 485 MiB, 40 %, 42
2026/09/24 10:35:31.116, 485 MiB, 40 %, 42
2026/09/24 10:35:33.119, 485 MiB, 36 %, 42
2026/09/24 10:35:35.134, 485 MiB, 40 %, 42
2026/09/24 10:35:37.138, 485 MiB, 40 %, 42
2026/09/24 10:35:39.142, 485 MiB, 39 %, 42
2026/09/24 10:35:41.158, 485 MiB, 39 %, 42
2026/09/24 10:35:43.161, 485 MiB, 40 %, 43
